"","year_end","fran_id","id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG"
"12",1991,"Pacers","IND-1991",1529.5189,10981000,7331.5704745852,Inf,-4691826.08099488,21773.2065614611,875479.999017759,Inf,579427.040666818,915083.333333333,610.964206215434,Inf,-390985.506749573,1814.43388012176,72956.6665848133,Inf,48285.5867222349,2150000,1408.45070422535,Inf,1334000,6756.75675675676,178571.428571429,Inf,119047.619047619,175000,190.504103165299,-2350000,-4300000,352.56064690027,12589.928057554,-6750000,9067.35751295337,643295.840091313,378.960158919976,NA,1370303.54804399,1783.45181407019,51290.0579608995,NA,30949.1283191265
"13",1991,"Clippers","LAC-1991",1449.3525,10245000,10379.276603874,Inf,2758979.83415786,30828.2156199426,818596.484083913,-2778319.2431562,513328.842277322,788076.923076923,798.405892605694,Inf,212229.218012143,2371.40120153404,62968.9603141471,-213716.864858169,39486.8340213324,2200000,3421.05263157895,Inf,1950000,13541.6666666667,130177.514792899,1700000,96916.2995594714,210000,157.421289355322,115384.615384615,-5e+05,401.529636711281,21000,-3250000,11475.4098360656,546483.22047105,860.426935010019,NA,754781.791247821,3468.27730386104,34089.326622235,1653061.97818509,21294.7501133543
"14",1991,"Lakers","LAL-1991",1705.1174,12120000,8541.19150409972,2343684.10801677,5438717.36411024,22504.400153923,792434.646980416,2557699.80506823,643548.320417216,1010000,711.765958674976,195307.009001397,453226.447009186,1875.36667949358,66036.2205817013,213141.650422352,53629.0267014346,2400000,1513.15789473684,1100000,3500000,3993.05555555556,133108.108108108,5750000,116568.047337278,120000,172.661870503597,-1200000,-821428.571428571,512.820512820513,11009.1743119266,-3075000,4123.71134020619,748802.073617952,390.414866751815,514576.973371703,1102889.38281776,1201.08936721692,39410.8366205962,2106274.27485838,39223.8966881112
"15",1991,"Heat","MIA-1991",1346.4865,8510000,6986.43280901735,-11075605.6538777,-5274720.42337875,17946.9371687993,739865.337764553,Inf,422831.765783315,654615.384615385,537.41790838595,-851969.665682901,-405747.724875288,1380.53362836918,56912.718289581,Inf,32525.5204448704,2e+06,1488.88888888889,1675000,541666.666666667,3292.18106995885,190476.19047619,Inf,90497.7375565611,130000,119.331742243437,-1.6e+07,-3875000,240.384615384615,11111.1111111111,-5e+06,9493.67088607595,632206.656410905,450.991145339758,4572859.75208374,1084797.70695775,1031.10129073331,60976.1425812967,NA,27658.1250533922
"16",1991,"Bucks","MIL-1991",1605.6565,10990000,10894.7309905718,5004001.501786,-6238875.03587501,27302.145574397,788341.236758985,4000725.01747029,586759.196531637,845384.615384615,838.056230043983,384923.192445077,-479913.464298078,2100.16504418438,60641.633596845,307748.078266946,45135.3228101259,1600000,3174.60317460317,4e+06,5e+06,7017.54385964912,116788.321167883,3e+06,92024.5398773006,120000,173.913043478261,-2250000,-5333333.33333333,534.979423868313,10434.7826086957,-4e+06,7692.30769230769,463943.519993102,790.968148203074,1306624.24199152,2391781.26384202,1848.33981309263,31620.1099174022,2082318.64661942,26750.1009844968
"17",1991,"Timberwolves","MIN-1991",1407.597,7540000,7901.8046406357,2972932.7369781,-2400571.47644102,35292.5312535667,-148148.280751464,-4221401.79910045,442190.738338294,628333.333333333,658.483720052975,247744.394748175,-200047.623036752,2941.04427113056,-12345.690062622,-351783.483258371,36849.2281948578,1200000,3045.45454545455,1150000,768750,20937.5,100877.192982456,3566666.66666667,91452.9914529915,150000,160.205062479974,-1675000,-1333333.33333333,417.710944026734,-670000,-2950000,12396.694214876,361847.113202984,787.119548481711,719191.827858001,539601.686592518,5725.69495419374,208718.179099706,2116934.87351904,24595.04021129
"18",1991,"Knicks","NYK-1991",1525.0953,12890000,9877.21392272435,Inf,Inf,29976.0301938315,856113.639785554,702428.555743762,643121.851088166,1074166.66666667,823.101160227029,Inf,Inf,2498.00251615263,71342.8033154628,58535.7129786469,53593.4875906805,4250000,2803.73831775701,Inf,Inf,11538.4615384615,179324.894514768,2783333.33333333,136655.948553055,120000,102.30179028133,50000,-1208333.33333333,257.510729613734,8391.60839160839,-3e+06,6091.37055837563,1091185.41323673,732.18240151842,NA,NA,3005.32290632282,41925.0868695929,1842983.02463539,36289.9878418823
"19",1991,"Thunder","OKC-1991",1533.9608,10590000,14036.2073362897,1562268.72742458,-7626941.63070593,39093.4113645684,710194.46136131,Inf,564790.75527475,814615.384615385,1079.70825663767,120174.517494198,-586687.81774661,3007.18548958218,54630.3431816392,Inf,43445.4427134423,1750000,5660.37735849057,1416666.66666667,1872222.22222222,17647.0588235294,127651.515151515,Inf,113087.248322148,3e+05,143.325143325143,-3e+06,-5500000,288.30313014827,19886.3636363636,-1416666.66666667,10600.7067137809,485376.23524807,1467.34327334129,1008542.47405463,1834317.79569591,4671.19760548793,34021.1044354109,NA,31298.6086291276
"20",1991,"Magic","ORL-1991",1445.7169,7532000,5429.30284192499,7200346.41680852,Inf,14004.6052145521,591529.874110263,13895603.8461538,399513.930654522,627666.666666667,452.441903493749,600028.868067376,Inf,1167.05043454601,49294.1561758552,1157966.98717949,33292.8275545435,1560000,1005.12820512821,3470000,Inf,3070.79646017699,120000,15600000,63934.4262295082,2e+05,150.33161385409,58285.7142857143,-821052.631578947,300.66322770818,11834.3195266272,-5425000,12269.9386503067,392035.094285595,313.186397698475,954629.180027017,NA,856.560368113836,30261.5443721427,5204994.9736558,17300.2265742945
"21",1991,"Sixers","PHI-1991",1566.5555,11640000,20780.2821507692,12521184.5957222,-4007299.15319906,50978.543237796,803729.383868613,14897465.9044426,676567.374493313,895384.615384615,1598.48324236686,963168.045824784,-308253.781015312,3921.42640290739,61825.3372206625,1145958.91572636,52043.6441917933,2900000,12096.7741935484,5e+06,1363636.36363636,23809.5238095238,154761.904761905,1.5e+07,185714.285714286,110000,53.3807829181495,-1333333.33333333,-3325000,151.324085750315,8593.75,-4e+06,6875,770323.15063891,3222.37731866181,1616979.89726692,1083141.69096932,6453.91979199184,41787.281187026,4629834.50253653,51226.6563480474
"22",1991,"Suns","PHO-1991",1677.7751,11113000,72494.5058762049,Inf,Inf,54119.6715198808,711142.038813624,Inf,635342.634869613,854846.153846154,5576.50045201576,Inf,Inf,4163.05165537544,54703.2337548942,Inf,48872.5103745856,2060000,65000,Inf,Inf,32500,127160.493827161,Inf,79646.017699115,130000,188.513809732573,59722.2222222222,-1872727.27272727,337.18689788054,1703.80078636959,-936000,3394.25587467363,586045.624810027,17856.901483364,NA,NA,8619.19427312152,33909.0862578483,NA,26858.0462272341
"23",1991,"Trailblazers","POR-1991",1710.6281,11215000,7695.23536111754,3556155.07815487,2035289.96555137,21156.4269435791,779600.368106608,Inf,629435.27689598,934583.333333333,641.269613426462,296346.256512906,169607.497129281,1763.03557863159,64966.6973422173,Inf,52452.9397413316,2e+06,1474.5308310992,790000,2500000,7482.99319727891,134645.669291339,Inf,113138.686131387,250000,128.865979381443,59523.8095238095,-578947.368421053,261.233019853709,17730.4964539007,-9e+06,11061.9469026549,577677.396340227,403.719816120902,258995.455524974,856128.898613366,1931.14605018294,41102.4446172967,NA,37104.6657808922
"24",1991,"Kings","SAC-1991",1365.5752,9605000,12607.8783627606,Inf,3837729.60594101,47488.0829483416,864767.798115458,11971323.5294118,498170.030573067,738846.153846154,969.836797135429,Inf,295209.96968777,3652.92945756474,66520.5998550352,920871.040723982,38320.7715825436,2330000,6465.51724137931,Inf,9300000,30405.4054054054,312500,23300000,139751.552795031,30000,21.4438884917798,-7500000,-3250000,75.9493670886076,2189.78102189781,-7500000,1388.88888888889,746335.921480608,1745.14784050764,NA,2877843.35710838,8175.09510847176,81526.6938043898,7249656.63579367,37743.6134294819
"25",1991,"Spurs","SAS-1991",1669.0737,11057000,8523.55823209191,Inf,8317230.42063951,22982.9661298,853262.72306513,-2162156.08465608,570001.439010899,850538.461538462,655.658325545531,Inf,639786.955433808,1767.92047152308,65635.594081933,-166319.698819699,43846.2645392999,2265000,1332.14920071048,Inf,7250000,5514.70588235294,133928.571428571,3250000,101123.595505618,50000,52.1376433785193,31250,-1500000,156.25,3731.34328358209,-3750000,3086.41975308642,702644.720014391,393.774580577763,NA,2150598.93057605,1430.91856966029,43760.3969234664,1836406.27670586,31562.7713287785
"26",1991,"Jazz","UTA-1991",1623.8385,10645000,7732.42983674672,Inf,-1476177.88160122,20986.512118034,799279.24521058,Inf,657648.943410382,887083.333333333,644.369153062227,Inf,-123014.823466768,1748.87600983617,66606.6037675483,Inf,54804.0786175318,2260000,2647.05882352941,Inf,1111111.11111111,5625,210526.315789474,Inf,263157.894736842,50000,170.068027210884,-2250000,-1200000,602.409638554217,8474.57627118644,-2250000,3125,791441.315613865,670.611419043072,NA,622290.143611688,1702.29627594173,55588.7849670037,NA,71568.3061190612
"27",1991,"Wizards","WAS-1991",1466.1833,9610000,7693.77250888234,7181641.82780678,21300210.0687098,20740.858041771,706652.098999045,7434306.52680652,554169.584265273,739230.769230769,591.828654529411,552433.986754368,1638477.69759307,1595.45061859777,54357.8537691573,571869.732831271,42628.4295588671,2300000,1186.70886075949,1375000,1.6e+07,4141.10429447853,144654.088050314,3750000,127358.490566038,120000,58.9970501474926,48000,-1111111.11111111,206.540447504303,10434.7826086957,-2500000,8275.86206896552,602884.891424302,393.137283322189,398006.207063155,4500956.32087683,1168.49302827993,36451.6800816717,1726322.07588246,38981.0429145074
"28",1992,"Hawks","ATL-1992",1527.3722,12930000,48821.9218318062,Inf,794853.404497505,94441.15698681,1018996.77662119,Inf,727163.85032128,994615.384615385,3755.53244860048,Inf,61142.5695767311,7264.70438360077,78384.367432399,Inf,55935.6807939446,3100000,31250,Inf,2916666.66666667,58823.5294117647,270270.27027027,Inf,206185.567010309,125000,72.7590221187427,-1085000,-1250000,158.02781289507,4012.34567901235,-7790000,5200,831870.436472485,8667.06106886694,NA,1114074.84641148,15927.8727009997,72989.686799073,NA,55324.9982187551
"29",1992,"Nets","BKN-1992",1510.2008,11655000,7604.88166525708,7817385.5597109,Inf,17926.6797935222,781348.731877549,7313625.08544088,567608.778128559,971250,633.740138771424,651448.796642575,Inf,1493.88998279351,65112.3943231291,609468.757120074,47300.7315107133,2300000,1683.24125230203,3656000,Inf,4062.22222222222,142812.5,8500000,91633.4661354582,135000,225.667189952904,117346.93877551,-1250000,577.309236947791,11344.5378151261,-3656000,5648.53556485356,741418.92525567,417.205300546349,1001251.14773648,NA,959.108573103423,43943.1512029306,2895177.16510239,31381.2069651552
"30",1992,"Celtics","BOS-1992",1643.3167,23050000,20463.1649207665,12779967.3109339,Inf,50148.9310049757,1326093.9634257,Inf,1082854.77766891,1773076.92307692,1574.08960928973,983074.408533375,Inf,3857.61007730582,102007.227955823,Inf,83296.5213591468,7070000,6045.45454545455,6650000,Inf,17972.972972973,336666.666666667,Inf,286234.817813765,130000,315.729047072331,120000,-593750,815.217391304348,10317.4603174603,-3150000,7784.43113772455,1975412.9720786,1721.58374491892,1732527.47852067,NA,4618.98712553619,91902.0990590518,NA,77978.9951582946
"31",1992,"Hornets","CHA-1992",1481.7877,11285000,8774.08955156258,6996331.28948188,-3078332.9705721,21242.8519092491,770316.513789559,4663449.80694981,580023.263331288,1128500,877.408955156258,699633.128948188,-307833.29705721,2124.28519092491,77031.6513789559,466344.980694981,58002.3263331288,1955000,3707.41482965932,3700000,2120000,9158.41584158416,142307.692307692,6250000,98930.4812834225,130000,152.582159624413,101333.333333333,-2012000,334.190231362468,10000,-9250000,5855.85585585586,633020.492910336,1031.47764904599,1070891.36744643,1104637.62750793,2607.67208509663,39395.8302453273,4064780.11693622,29236.2602335357
"32",1992,"Bulls","CHI-1992",1782.1224,16523000,23257.9428040505,3295026.81067989,Inf,86622.9521346058,1100464.71596905,Inf,892665.942084057,1271000,1789.0725233885,253463.60082153,Inf,6663.30401035429,84651.1319976193,Inf,68666.6109295429,3250000,13111.1111111111,875000,Inf,59000,183486.23853211,Inf,132231.404958678,118000,232,-1180000,-1142857.14285714,537.70086526576,-8676.47058823529,-6666666.66666667,4097.22222222222,971052.521751527,3418.78731733991,502874.81195392,NA,15765.5423613389,54353.2679858702,NA,44274.2567308324
