"year_end","team_id","fran_id","elo_n"
1991,"LAC","Clippers",1367.1586
1991,"PHO","Suns",1625.5463
1991,"DAL","Mavericks",1502.7417
1991,"MIA","Heat",1342.0377
1991,"BKN","Nets",1294.52
1991,"MIL","Bucks",1513.3699
1991,"PHI","Sixers",1544.5132
1991,"ATL","Hawks",1515.2717
1991,"MIN","Timberwolves",1392.9839
1991,"DEN","Nuggets",1436.064
1991,"GSW","Warriors",1504.9136
1991,"CHI","Bulls",1606.0304
1991,"LAL","Lakers",1597.9133
1991,"HOU","Rockets",1516.7446
1991,"ORL","Magic",1279.6957
1991,"UTA","Jazz",1531.822
1991,"NYK","Knicks",1509.1294
1991,"POR","Trailblazers",1637.5145
1991,"SAS","Spurs",1610.5282
1991,"SAC","Kings",1315.355
1991,"ATL","Hawks",1493.7377
1991,"CHA","Hornets",1374.0477
1991,"UTA","Jazz",1519.9237
1991,"BOS","Celtics",1559.6533
1991,"MIL","Bucks",1509.5204
1991,"CLE","Cavaliers",1560.4244
1991,"DAL","Mavericks",1514.7777
1991,"LAL","Lakers",1585.8773
1991,"MIA","Heat",1334.2922
1991,"IND","Pacers",1460.2058
1991,"BKN","Nets",1291.6548
1991,"DET","Pistons",1662.6716
1991,"PHI","Sixers",1548.2196
1991,"WAS","Wizards",1380.5891
1991,"LAC","Clippers",1365.229
1991,"PHO","Suns",1627.4758
1991,"CLE","Cavaliers",1544.8793
1991,"CHA","Hornets",1389.5929
1991,"POR","Trailblazers",1652.3452
1991,"DEN","Nuggets",1421.2333
1991,"ATL","Hawks",1491.1172
1991,"DET","Pistons",1665.2921
1991,"SAC","Kings",1314.3124
1991,"GSW","Warriors",1505.9562
1991,"HOU","Rockets",1520.6727
1991,"MIA","Heat",1330.3641
1991,"BKN","Nets",1289.0894
1991,"MIL","Bucks",1512.0858
1991,"NYK","Knicks",1525.0953
1991,"PHI","Sixers",1532.2537
1991,"ORL","Magic",1290.7347
1991,"IND","Pacers",1449.1667
1991,"SAS","Spurs",1619.7593
1991,"PHO","Suns",1618.2448
1991,"CHI","Bulls",1621.816
1991,"OKC","Thunder",1471.3081
1991,"WAS","Wizards",1372.0935
1991,"BOS","Celtics",1568.1489
1991,"LAC","Clippers",1377.7571
1991,"OKC","Thunder",1458.78
1991,"GSW","Warriors",1497.936
1991,"LAL","Lakers",1593.8975
1991,"MIN","Timberwolves",1384.1927
1991,"UTA","Jazz",1528.7148
1991,"CHI","Bulls",1614.7042
1991,"POR","Trailblazers",1659.457
1991,"LAL","Lakers",1604.8866
1991,"DEN","Nuggets",1410.2441
1991,"UTA","Jazz",1521.2769
1991,"MIL","Bucks",1519.5238
1991,"CHA","Hornets",1386.5773
1991,"PHI","Sixers",1535.2693
1991,"CHA","Hornets",1395.131
1991,"ATL","Hawks",1482.5635
1991,"MIN","Timberwolves",1392.0275
1991,"DAL","Mavericks",1506.943
1991,"GSW","Warriors",1499.2441
1991,"ORL","Magic",1289.4266
1991,"MIA","Heat",1325.5005
1991,"DET","Pistons",1670.1558
1991,"NYK","Knicks",1496.5377
1991,"HOU","Rockets",1549.2303
1991,"OKC","Thunder",1462.9904
1991,"BKN","Nets",1284.879
1991,"SAC","Kings",1325.7916
1991,"WAS","Wizards",1360.6143
1991,"BOS","Celtics",1575.6506
1991,"HOU","Rockets",1541.7286
1991,"CLE","Cavaliers",1547.6909
1991,"MIA","Heat",1322.6888
1991,"IND","Pacers",1443.6603
1991,"DET","Pistons",1675.6622
1991,"BKN","Nets",1280.6996
1991,"LAC","Clippers",1381.9365
1991,"LAL","Lakers",1608.9952
1991,"DEN","Nuggets",1406.1355
1991,"ATL","Hawks",1476.0088
1991,"MIL","Bucks",1526.0785
1991,"SAC","Kings",1324.6753
1991,"PHI","Sixers",1536.3856
1991,"PHO","Suns",1621.4152
1991,"CHI","Bulls",1611.5338
1991,"SAS","Spurs",1622.442
1991,"MIN","Timberwolves",1389.3447
1991,"ORL","Magic",1286.6829
1991,"UTA","Jazz",1524.0206
1991,"SAC","Kings",1322.778
1991,"BOS","Celtics",1577.548
1991,"CHA","Hornets",1371.3334
1991,"MIA","Heat",1346.4865
1991,"SAS","Spurs",1627.718
1991,"DAL","Mavericks",1501.667
1991,"DET","Pistons",1676.8899
1991,"WAS","Wizards",1359.3866
1991,"HOU","Rockets",1537.7155
1991,"IND","Pacers",1447.6735
1991,"CHI","Bulls",1616.8265
1991,"LAC","Clippers",1376.6438
1991,"PHI","Sixers",1541.8018
1991,"CLE","Cavaliers",1542.2748
1991,"BKN","Nets",1294.5317
1991,"PHO","Suns",1607.583
1991,"POR","Trailblazers",1665.0903
1991,"GSW","Warriors",1493.6108
1991,"UTA","Jazz",1526.0511
1991,"OKC","Thunder",1460.9598
1991,"PHI","Sixers",1548.1138
1991,"ATL","Hawks",1469.6968
1991,"BOS","Celtics",1591.2994
1991,"CLE","Cavaliers",1528.5233
1991,"DAL","Mavericks",1487.4353
