"year_end","player","team_id","G","GS","MP","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","PTS","id","salary","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"John Long","DET",25,0,256,11.9,0.5,18.9,0.1,0.3,0.5,0.09,-2.5,0.1,-2.5,0,96,"John Long-1991-DET",150000,585.9375,3e+05,-60000,1562.5,12605.0420168067,Inf,7936.50793650794
1991,"Rick Mahorn","PHI",80,74,2439,11.8,0.535,14.2,1.3,3.1,4.4,0.086,-2.1,1.6,-0.4,0.9,711,"Rick Mahorn-1991-PHI",1330000,545.305453054531,302272.727272727,-3325000,1870.60478199719,112711.86440678,1477777.77777778,93661.9718309859
1991,"Dan Majerle","PHO",77,7,2281,16.9,0.552,19.1,4.4,2.8,7.2,0.152,2.5,1.2,3.7,3.3,1051,"Dan Majerle-1991-PHO",430000,188.513809732573,59722.2222222222,116216.216216216,409.134157944814,25443.7869822485,130303.03030303,22513.0890052356
1991,"Jeff Malone","UTA",69,69,2466,14.4,0.56,22.5,3.1,2,5.1,0.1,-0.1,-1.1,-1.2,0.5,1282,"Jeff Malone-1991-UTA",915000,371.046228710462,179411.764705882,-762500,713.728549141966,63541.6666666667,1830000,40666.6666666667
1991,"Karl Malone","UTA",82,82,3302,24.8,0.596,30.1,9.9,5.6,15.5,0.225,4.3,1.5,5.8,6.5,2382,"Karl Malone-1991-UTA",2260000,684.433676559661,145806.451612903,389655.172413793,948.782535684299,91129.0322580645,347692.307692308,75083.0564784053
1991,"Moses Malone","ATL",82,15,1912,18.2,0.57,19.4,3.8,1.8,5.6,0.14,-0.1,-0.8,-0.9,0.5,869,"Moses Malone-1991-ATL",2406000,1258.36820083682,429642.857142857,-2673333.33333333,2768.6996547756,132197.802197802,4812000,124020.618556701
1991,"Danny Manning","LAC",73,47,2197,16.9,0.557,22.7,2.2,3,5.2,0.113,1,1.8,2.8,2.7,1159,"Danny Manning-1991-LAC",2200000,1001.36549840692,423076.923076923,785714.285714286,1898.18809318378,130177.514792899,814814.814814815,96916.2995594714
1991,"Sarunas Marciulionis","GSW",50,10,987,16.3,0.576,22.2,1.8,0.7,2.5,0.121,0.7,-1.2,-0.4,0.4,545,"Sarunas Marciulionis-1991-GSW",1270000,1286.72745694022,508000,-3175000,2330.2752293578,77914.1104294478,3175000,57207.2072072072
1991,"Jeff Martin","LAC",74,26,1334,10,0.475,18.3,0.2,1.1,1.3,0.046,-2.4,-1,-3.5,-0.5,523,"Jeff Martin-1991-LAC",210000,157.421289355322,161538.461538462,-60000,401.529636711281,21000,-420000,11475.4098360656
1991,"Tony Massenburg","SAS",35,0,161,16.3,0.514,24,0.1,0.3,0.4,0.129,-3.2,-1.5,-4.6,-0.1,82,"Tony Massenburg-1991-SAS",150000,931.67701863354,375000,-32608.6956521739,1829.26829268293,9202.45398773006,-1500000,6250
1991,"Vernon Maxwell","HOU",82,79,2870,13.5,0.507,22.2,2.5,3.5,5.9,0.099,1,-0.3,0.7,1.9,1397,"Vernon Maxwell-1991-HOU",250000,87.1080139372822,42372.8813559322,357142.857142857,178.954903364352,18518.5185185185,131578.947368421,11261.2612612613
1991,"Travis Mays","SAC",64,55,2145,12.3,0.526,21,0.8,1.3,2.1,0.047,-0.1,-1.4,-1.5,0.2,915,"Travis Mays-1991-SAC",8e+05,372.960372960373,380952.380952381,-533333.333333333,874.31693989071,65040.6504065041,4e+06,38095.2380952381
