"id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG","sal_C","sal_PF","sal_PG","sal_SF","sal_SG","sal_Bench","sal_Start"
"MIA-1991",1346.4865,78239524.8925954,64232.1014890197,2908479.50191951,3630137.17448906,1411779.13531651,2461581.31646446,58987091.8748606,3887444.94293581,6018424.99173811,4940.93088377075,223729.192455347,279241.321114543,108598.395024347,189352.408958805,4537468.60575851,299034.226379677,18387667.4248168,13688.5968606969,1725097.52567372,2189546.85950895,281822.863105112,964885.056732758,56928218.3472325,832021.150444199,1195198.38261309,1097.11619479814,35344.5064241926,16626.2319939348,33811.5331923441,24708.4281020976,24481.7452754728,87283.2314469152,5812402.87091957,4146.33759602233,458624.554713009,587159.054559442,79999.393399762,264656.632615164,15744631.2152766,254284.202537884,"22846676.7753348","5056608.54182462","5654207.73313116","37694718.2208744","6987313.62143038",47624058.6302755,30615466.2623199
"MIL-1991",1605.6565,101040232.499368,100164.345068739,1845736.63690167,1759129.46613919,1979314.05155701,2052899.33538787,1583800.26076614,5394566.48213822,7772325.57687448,7704.94962067226,141979.741300128,135317.651241476,152254.927042847,157915.333491375,121830.789289703,414966.652472171,14710133.9398534,29186.7736901854,242591.839547867,214823.465461255,263556.566422375,381215.747860934,207767.220245375,846058.317092797,1103260.04548901,1598.92760215799,26685.1023502654,32843.2028926343,39170.7924407566,30280.9672059749,34996.8555413317,70721.7977877571,4265419.57476599,7272.02962639068,66516.2146046643,54613.9943078707,74270.8500738129,98686.7995665691,55225.4244518254,245935.980241595,"28500884.508466","28454915.339904","15353702.299722","3677533.48496336","25053196.8663129",57691306.5453627,43348925.9540055
"MIN-1991",1407.597,69321506.1915592,72647.8778939415,2070433.41073692,2951404.64280824,1683442.97568508,7272843.60975008,1907023.05673271,4065428.11744936,5776792.18262994,6053.98982449512,172536.11756141,245950.386900687,140286.914640424,606070.300812507,158918.588061059,338785.676454114,11032600.4548901,27999.4026696074,851381.836889419,1489918.21455648,496639.404852161,5959672.85822593,693511.134526668,840803.595921109,1379075.05686126,1472.89870432688,44855.3002468848,43372.4804040126,54907.6180046612,33006.7303703492,44664.426628813,113973.145195145,3326762.18810325,7236.64624052682,223999.737784923,397907.359816071,124275.60492627,1687561.93215428,174938.937889929,226122.709852597,"20410310.8415466","13101213.0401819","8366388.67829164","14296411.422795","13147182.208744",19996588.3244883,49324917.867071
"NYK-1991",1525.0953,118508516.552944,90809.4623474127,1878476.86939079,1974021.9652326,2175534.53408129,2383677.2875421,2323588.67382794,5912755.35572086,9875709.71274535,7567.45519561772,156539.739115899,164501.83043605,181294.544506774,198639.773961841,193632.389485661,492729.612976739,39073793.2777357,25777.1038665656,406493.494582896,412031.5530922,392767.740220356,398985.699168436,543318.300104502,1256392.06680822,1103260.04548901,940.545648328227,18976.072782411,15248.6299144374,21348.0818802123,17216.1950646874,16296.2457100858,56003.047994366,10032177.2387041,6731.56324671219,95725.3030582934,106569.987868741,113024.183990002,108864.115278087,161160.958564644,333644.113643588,"39073793.2777357","14848041.4455395","28362977.0027799","17468284.0535759","18755420.7733131",44498155.1680566,74010361.3848876
"OKC-1991",1533.9608,97362699.0144048,129046.556202735,1781634.99226575,1769258.81416316,2073579.98681734,1580259.16344347,1489981.77096547,5192592.2863016,7489438.38572345,9926.65816944113,137048.845558904,136096.831858704,159506.152832103,121558.397187959,114613.982381959,399430.175869354,16089208.9967147,52040.5681834438,323455.786063823,378038.949962093,395334.849633561,293884.950720242,245138.735501126,1039705.35606766,2758150.11372252,1317.70753453847,37509.1800104132,36843.3365782757,38082.7148729577,37284.5741420874,36519.2016523671,97461.1347605131,4462468.39482557,13490.5100541208,81425.732330153,98058.9351615719,95299.5379183946,76807.5927939394,61795.0584149406,287754.203165949,"27213747.7887289","5975991.91306546","26064518.5746777","8844468.03133687","29263972.7065959",39377189.7902451,57985509.2241597
"ORL-1991",1445.7169,69247955.52186,49916.1075029646,1381616.46031433,1530092.89622316,1212256.26717189,1825979.04079506,1764573.70120419,3673064.64422833,5770662.960155,4159.67562524705,115134.705026195,127507.74135193,101021.355597658,152164.920066255,147047.808433683,306088.720352361,14342380.5913571,9240.98157760023,243835.900263497,301657.67874213,194796.277864134,474401.819560273,420102.816116627,587802.48325234,1838766.74248168,1382.12385949249,28238.2035452544,25970.9025306719,41614.1946982696,22377.4443188808,29164.0462844431,112807.775612373,3604305.4662901,2879.38366142797,77121.515254908,92600.3050232708,53782.4633058625,127813.700046711,125944.06195899,159055.406311052,"8430745.5142785","13744781.4000505","15951301.4910286","5975991.91306546","25145135.203437",22193914.5817539,47054040.9401061
"PHI-1991",1566.5555,107016224.412434,191050.4585911,3771950.42216264,3008124.31311758,2770580.73080297,2857688.79014868,3211158.10293017,6220247.93633225,8232017.2624949,14696.1891223923,290150.032474049,231394.177932121,213121.594677152,219822.214626821,247012.161763859,478480.610487096,26662117.7659843,111215.730392037,1779006.82335103,790669.699267123,874921.38853329,783969.108595366,711602.72934041,1707426.26087584,1011321.70836492,490.774041587638,16678.1889689159,23864.7256790991,16678.1889689159,20491.1780700117,32080.4509128872,63207.6067728075,7082222.95179265,29626.0012264131,460706.150614443,206783.535710549,232741.506202796,208461.58454024,190556.128603387,470969.360106637,"27857316.1485975","15629517.3110943","15905332.3224665","34247030.5787212","13377028.0515542",33005863.0275461,74010361.3848876
"PHO-1991",1677.7751,102171074.045994,666502.43208904,1517117.52921108,1474923.52696799,2590105.95133631,1590792.48306917,1743336.16379276,5841234.53539462,7859313.38815342,51269.4178530031,116701.348400852,113455.655920614,199238.919333562,122368.652543782,134102.781830213,449325.733491894,18939297.4475613,597599.191306545,232682.797212896,324314.518239213,770902.956785445,245956.648060611,387244.275966642,732252.242581199,1195198.38261309,1733.16461917388,36843.3365782757,11951.9838261309,29791.9802953521,11951.9838261309,24344.3038984877,31206.2240891146,5388006.02238786,164173.382856907,53902.2247630973,82830.1592462038,186052.983729096,73030.0800438587,99722.3258087912,246928.410853367,"19766742.481678","32270356.3305535","20391923.1741218","19628834.9759919","10113217.0836492",36113378.8223401,66057695.2236542
"POR-1991",1710.6281,103108845.08466,70748.7142879595,1484044.17519727,1791945.84529507,1777594.20228318,2162704.00734243,3737525.91602761,5786923.26850537,8592403.757055,5895.72619066329,123670.347933106,149328.820441256,148132.850190265,180225.333945203,311460.4930023,482243.605708781,18387667.4248168,13556.5912649453,227547.384382107,444102.433274488,411980.527512867,724780.557661527,2433681.33434419,1040178.26673234,2298458.4281021,1184.77238561964,31542.6741728905,31767.9789884112,30672.5314370866,37217.7159696867,31101.5178907522,101701.7003585,5311069.92136908,3711.73285581965,63935.0644235172,111699.623743737,98254.4236964742,189266.423212422,671041.739078724,341134.127144013,"25834672.7318675","23903967.6522618","22524892.5954006","5056608.54182461","25788703.5633055",38843947.4349254,64264897.6497346
"SAC-1991",1365.5752,88306772.8076826,115914.737133493,12305066.5254314,2610699.22524534,2470708.13181552,4261736.04238376,2688171.71876348,4580092.42159418,6792828.67751404,8916.51824103789,946543.578879342,200823.017326565,190054.471678117,327825.849414136,206782.439904883,352314.801661091,21421632.5499115,59442.8903819509,10006913.3813495,1143647.2435828,1177283.92721759,2582429.2597031,964521.771696339,1284852.53744838,275815.011372252,197.151544940852,4027.93997739855,4851.83679095735,6099.45196577494,4723.02696464874,4542.14508089624,12769.2134894561,6861688.35568979,16044.5990491958,2729627.20864057,301756.614805622,310393.387464626,685348.102382158,257105.611100574,347008.505576081,"33097801.3646702","27029871.1144806","13147182.208744","8826080.36391205","6205837.75587566",31580818.8021228,56725954.0055597
