"year_end","player","pos","age","team_id","G","GS","MP","USG.","PTS","Bench","AdjPER","AdjWS","AdjBPM","AdjVORP","AdjPTS","id","salary","per_cap","sal_2020","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"Alaa Abdelnaby","PF",22,"POR",43,0,290,22.1,135,"Bench",52.1963824289406,30.2325581395349,19.8966408268734,31.5245478036176,22.4806201550388,"Alaa Abdelnaby-1991-POR",395000,0.033274366102266,3631564.31640131,0.011473919345609,0.110061364799803,0.167236099760739,0.148013559558355,0.0637484142652323,0.10555065312768,0.15056274254419
1991,"Mahmoud Abdul-Rauf","PG",21,"DEN",67,19,1505,27.2,942,"Bench",44.4444444444444,0.258397932816538,13.953488372093,0.516795865633075,74.4186046511628,"Mahmoud Abdul-Rauf-1991-DEN",1660000,0.139836576531042,15261763.9625979,0.009291466879139,54.1167551175131,1.0021621318058,0.187905399713588,0.314632297194845,27.0583775587566,0.51410506077589
1991,"Mark Acres","C",28,"ORL",68,0,1313,9.3,285,"Bench",19.3798449612403,59.6899224806201,48.8372093023256,52.7131782945737,37.4677002583979,"Mark Acres-1991-ORL",437000,0.0368123999663044,4017705.33232247,0.00280368621220902,0.0616727220214711,0.0753777713595757,0.0982510261169642,0.189951983826131,0.0698352881713715,0.395832257702198
1991,"Michael Adams","PG",28,"DEN",66,66,2346,28.5,1752,"Starter",96.3824289405685,86.8217054263566,96.1240310077519,94.5736434108527,96.640826873385,"Michael Adams-1991-DEN",825000,0.0694970937578974,7584912.81273692,0.00296236546282598,0.0800457597747211,0.0722993959255546,0.0719127681398564,0.0721055637648962,0.0734846319243341,0.243849451782096
1991,"Mark Aguirre","SF",31,"DET",78,13,2006,25.7,1104,"Bench",81.1369509043928,82.4289405684755,77.5193798449613,79.0697674418605,81.6537467700258,"Mark Aguirre-1991-DET",1115000,0.0939263752000674,10251124.5893354,0.00468227194417086,0.113948298440207,0.121165024008087,0.115030086083627,0.115762761791166,0.118789239223615,0.365472277043064
1991,"Danny Ainge","SG",31,"POR",80,0,1710,20.8,890,"Bench",82.9457364341085,86.3049095607235,92.7648578811369,85.2713178294574,71.5762273901809,"Danny Ainge-1991-POR",725000,0.061073203605425,6665529.44149608,0.00357153237458626,0.0707644604649685,0.0658365732459596,0.0853261003440414,0.0736303108887834,0.0716222115009075,0.293621171179928
1991,"Mark Alarie","PF",27,"WAS",42,1,587,20.3,244,"Bench",34.3669250645995,33.8501291989664,31.0077519379845,31.5245478036176,31.7829457364341,"Mark Alarie-1991-WAS",5e+05,0.0421194507623621,4596916.85620419,0.0071753749169271,0.124429217137665,0.135835228708618,0.132522174349871,0.122558101090482,0.133608421680608,0.207484979124936
1991,"Steve Alford","PG",26,"DAL",34,0,236,27.5,151,"Bench",93.28165374677,33.8501291989664,52.7131782945737,49.0956072351421,25.0645994832041,"Steve Alford-1991-DAL",250000,0.021059725381181,2298458.4281021,0.00892361244965297,0.0622146085688324,0.0399515378554757,0.0840217909537841,0.0225764923061414,0.0428953353816687,0.0765808195679309
1991,"Greg Anderson","PF",26,"DEN",68,2,924,16.3,292,"Bench",18.6046511627907,2.0671834625323,7.23514211886305,1.03359173126615,37.984496124031,"Greg Anderson-1991-DEN",1365000,0.114986100581248,12549583.0174375,0.0124443831797887,5.56245261561787,1.58927217589082,0.30271850969349,0.618050290624208,11.1249052312357,0.705436199884957
1991,"Nick Anderson","SG",23,"ORL",70,42,1971,22.4,990,"Starter",70.0258397932816,65.1162790697674,59.4315245478036,65.6330749354005,76.2273901808786,"Nick Anderson-1991-ORL",725000,0.061073203605425,6665529.44149608,0.00309858973137621,0.0937909912511885,0.102762303457824,0.0801197620179643,0.0872152390970461,0.0930524795090531,0.272648230381362
1991,"Ron Anderson","SF",32,"PHI",82,13,2340,23.2,1198,"Bench",73.6434108527132,71.8346253229974,44.702842377261,31.5245478036176,83.9793281653747,"Ron Anderson-1991-PHI",425000,0.0358015331480077,3907379.32777357,0.00152998004906016,0.0498388249218669,0.0800878227068149,0.0426313640870122,0.0486147134325578,0.113567158428516,0.154316953224171
1991,"Willie Anderson","SG",24,"SAS",75,75,2592,20.1,1083,"Starter",50.9043927648579,77.7777777777778,72.3514211886305,79.0697674418605,80.3617571059432,"Willie Anderson-1991-SAS",725000,0.061073203605425,6665529.44149608,0.00235621927490066,0.0785226903498321,0.0844118921260695,0.0759978450009629,0.119976293377155,0.0772396398539198,0.303846784106592
1991,"Michael Ansley","SF",23,"ORL",67,1,877,16.3,379,"Bench",82.1705426356589,65.1162790697674,70.8010335917313,63.0490956072351,44.1860465116279,"Michael Ansley-1991-ORL",2e+05,0.0168477803049448,1838766.74248168,0.00192106959007352,0.0258733768968795,0.0237959524745023,0.0381291870059277,0.0205034307484706,0.0267216843361215,0.10336061536776
1991,"B.J. Armstrong","PG",23,"CHI",82,0,1731,19.5,720,"Bench",68.4754521963824,71.8346253229974,48.8372093023256,52.7131782945737,63.0490956072351,"B.J. Armstrong-1991-CHI",425000,0.0358015331480077,3907379.32777357,0.00206825725869484,0.0498388249218669,0.0733079012078253,0.0567835792142582,0.0522837484085999,0.0679176143543087,0.183597605887219
1991,"Keith Askins","SF",23,"MIA",39,1,266,15.8,86,"Bench",55.8139534883721,33.8501291989664,82.9457364341085,56.3307493540052,19.3798449612403,"Keith Askins-1991-MIA",150000,0.0126358352287086,1379075.05686126,0.00475031399575511,0.0373287651412995,0.0152338574252655,0.0652009097801364,0.0226392047847696,0.0224315056583038,0.0799736406880291
