"year_end","player","pos","age","team_id","G","GS","MP","USG.","PTS","Bench","AdjPER","AdjWS","AdjBPM","AdjVORP","AdjPTS","id","salary","per_cap","sal_2020","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"Alaa Abdelnaby","PF",22,"POR",43,0,290,22.1,135,"Bench",52.1963824289406,30.2325581395349,19.8966408268734,31.5245478036176,22.4806201550388,"Alaa Abdelnaby-1991-POR",395000,0.033274366102266,3631564.31640131,12522.6355737976,120120.973542505,182521.479278871,161541.998901989,69575.0193290746,115197.98282355,164324.177212729
1991,"Mahmoud Abdul-Rauf","PG",21,"DEN",67,19,1505,27.2,942,"Bench",44.4444444444444,0.258397932816538,13.953488372093,0.516795865633075,74.4186046511628,"Mahmoud Abdul-Rauf-1991-DEN",1660000,0.139836576531042,15261763.9625979,10140.7069518923,59063026.5352537,1093759.75065285,205079.953247409,343389.689158453,29531513.2676269,561094.263330805
1991,"Mark Acres","C",28,"ORL",68,0,1313,9.3,285,"Bench",19.3798449612403,59.6899224806201,48.8372093023256,52.7131782945737,37.4677002583979,"Mark Acres-1991-ORL",437000,0.0368123999663044,4017705.33232247,3059.94313200493,67309.6088142337,82267.299661841,107231.169904055,207313.59514784,76218.233510235,432011.32605618
1991,"Michael Adams","PG",28,"DEN",66,66,2346,28.5,1752,"Starter",96.3824289405685,86.8217054263566,96.1240310077519,94.5736434108527,96.640826873385,"Michael Adams-1991-DEN",825000,0.0694970937578974,7584912.81273692,3233.12566612827,87361.9422181306,78907.5607131502,78485.5951478393,78696.0122930077,80201.1272822183,266137.29167498
1991,"Mark Aguirre","SF",31,"DET",78,13,2006,25.7,1104,"Bench",81.1369509043928,82.4289405684755,77.5193798449613,79.0697674418605,81.6537467700258,"Mark Aguirre-1991-DET",1115000,0.0939263752000674,10251124.5893354,5110.2315998681,124363.172917643,132239.507202427,125543.835951671,126343.478218879,129646.575688654,398876.443164802
1991,"Danny Ainge","SG",31,"POR",80,0,1710,20.8,890,"Bench",82.9457364341085,86.3049095607235,92.7648578811369,85.2713178294574,71.5762273901809,"Danny Ainge-1991-POR",725000,0.061073203605425,6665529.44149608,3897.97043362344,77232.3321514666,71854.0360406402,93124.9059154867,80360.1213040182,78168.4816320904,320458.146225773
1991,"Mark Alarie","PF",27,"WAS",42,1,587,20.3,244,"Bench",34.3669250645995,33.8501291989664,31.0077519379845,31.5245478036176,31.7829457364341,"Mark Alarie-1991-WAS",5e+05,0.0421194507623621,4596916.85620419,7831.20418433422,135802.047584047,148250.568612585,144634.701085449,133759.911530152,145820.231422215,226449.106216955
1991,"Steve Alford","PG",26,"DAL",34,0,236,27.5,151,"Bench",93.28165374677,33.8501291989664,52.7131782945737,49.0956072351421,25.0645994832041,"Steve Alford-1991-DAL",250000,0.021059725381181,2298458.4281021,9739.23062755127,67901.0237920239,43603.1084154663,91701.3826469602,24639.9837029228,46815.9690355533,83580.30647644
1991,"Greg Anderson","PF",26,"DEN",68,2,924,16.3,292,"Bench",18.6046511627907,2.0671834625323,7.23514211886305,1.03359173126615,37.984496124031,"Greg Anderson-1991-DEN",1365000,0.114986100581248,12549583.0174375,13581.7998024215,6070860.78468539,1734531.65276725,330386.981479477,674540.087187266,12141721.5693708,769913.068554448
1991,"Nick Anderson","SG",23,"ORL",70,42,1971,22.4,990,"Starter",70.0258397932816,65.1162790697674,59.4315245478036,65.6330749354005,76.2273901808786,"Nick Anderson-1991-ORL",725000,0.061073203605425,6665529.44149608,3381.80083282399,102363.487851547,112154.777993869,87442.7082664061,95186.711950516,101557.47613618,297568.278638218
1991,"Ron Anderson","SF",32,"PHI",82,13,2340,23.2,1198,"Bench",73.6434108527132,71.8346253229974,44.702842377261,31.5245478036176,83.9793281653747,"Ron Anderson-1991-PHI",425000,0.0358015331480077,3907379.32777357,1669.82022554426,54394.0935197256,87407.849702218,46527.8707645653,53058.0982402937,123947.196708883,168421.522748861
1991,"Willie Anderson","SG",24,"SAS",75,75,2592,20.1,1083,"Starter",50.9043927648579,77.7777777777778,72.3514211886305,79.0697674418605,80.3617571059432,"Willie Anderson-1991-SAS",725000,0.061073203605425,6665529.44149608,2571.57771662657,85699.6642478067,92127.1390663922,82944.0480340509,130942.126591826,84299.342936568,331618.380173934
