"id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG","sal_C","sal_PF","sal_PG","sal_SF","sal_SG","sal_Bench","sal_Start"
"DAL-1992",1412.4019,0.88992,0.0638699728277955,2.07502213846892,2.42645880112905,1.63707133597829,2.12125189902465,7.0240254235175,4.37036418911143,0.0809018181818182,0.00580636116616323,0.188638376224447,0.220587163739004,0.148824666907117,0.192841081729513,0.638547765774318,0.397305835373766,0.1536,0.0146515837104072,0.335652173913043,0.51769411764706,0.312467,0.500756756756757,3.04425333333333,0.634901960784314,0.0104,0.000982986767485822,0.0229394285714286,0.0246282208588957,0.0221790055248619,0.0174539130434783,0.0259672727272727,0.0544502617801047,0.0507352417591918,0.00422861426290422,0.112387503100706,0.163931119789997,0.0922803290466703,0.136909942166687,1.0057739168681,0.209123083416528,"0.09464","0.22936","0.2008","0.082","0.28312",0.47536,0.41456
"DEN-1992",1385.2906,0.85848,0.10104061238744,31.9146907253202,3.16887803109572,2.00843302027561,3.1128290003164,25.9484406853167,4.82855907679152,0.0660369230769231,0.00777235479903383,2.45497620964001,0.243759848545825,0.154494847713508,0.239448384639723,1.99603389887051,0.371427621291655,0.16064,0.0333913043478261,29.9536,1.06908689655172,0.361521951219512,0.636795675675676,20.6690133333333,0.798009950248756,0.0172,0.0012962256957682,0.0361657657657657,0.0372840909090909,0.0341651063829787,0.0204913580246914,0.036969014084507,0.0641791044776119,0.0492642140883582,0.00908216031388458,8.26324523714883,0.282195012626569,0.106034567014275,0.21231285407858,5.6360462143792,0.230416898035722,"0.26144","0.1556","0.19664","0.122","0.1228",0.43328,0.4252
"GSW-1992",1605.2174,1,0.139946794321831,1.98077191143001,1.8871094216292,2.50347437435638,2.63735671042527,1.82351705272308,5.43377577415716,0.0769230769230769,0.0107651380247562,0.152367070110001,0.145162263202246,0.192574951873568,0.202873593109637,0.14027054251716,0.417982751858243,0.22752,0.0443076923076923,0.374209454545454,0.32411842519685,0.602159999999998,0.822383157894737,0.2895,0.964067796610169,0.0104,0.00062015503875969,0.0138427586206897,0.012744126984127,0.0182472727272727,0.0182472727272727,0.0134711409395973,0.0742857142857143,0.0570390333287383,0.0136759818587339,0.112272946598707,0.100837166798857,0.183976873241105,0.223396206024152,0.0914360525138841,0.271149817483991,"0.26264","0.29208","0.0512","0.27152","0.12256",0.50456,0.49544
"HOU-1992",1573.675,1.00928,0.0826993187221869,2.33304925379249,2.7356306571939,2.0417957268462,2.67526180260749,5.73891944588282,5.62964061882776,0.0841066666666667,0.00689160989351558,0.194420771149374,0.227969221432825,0.17014964390385,0.222938483550624,0.478243287156902,0.469136718235647,0.2536,0.0177777777777778,0.593475,0.678257142857143,0.410498133333333,0.615747199999998,3.86,1.04947368421053,0.022,0.000962962962962963,0.0362310469314079,0.0388992248062015,0.0288390804597701,0.0414710743801653,0.0344879725085911,0.106995884773663,0.0682145179606663,0.00513189966561791,0.160308579399978,0.206916773000696,0.106251282396393,0.169112521892151,1.07252588578631,0.325091426751654,"0.2836","0.27064","0.25064","0.1112","0.0932",0.39416,0.61512
"IND-1992",1549.6445,1.1384,0.108596162710357,3.37564536933847,2.50224678689066,2.50465494903529,3.67144946176272,2.14855347632716,6.26107108842088,0.0875692307692308,0.00835355097771974,0.259665028410652,0.192480522068512,0.192665765310407,0.282419189366363,0.165273344332858,0.481620852955452,0.25688,0.0382608695652174,1.33813333333333,0.499529411764706,0.707666666666667,0.882285714285714,0.316717948717949,1.27168316831683,0.0104,0.00145454545454545,0.0428888888888889,0.0269587301587302,0.0418166666666667,0.0269587301587302,0.0346612244897959,0.0321981424148607,0.0715015676356748,0.00950609616635905,0.338729055752949,0.129580278431912,0.180812902207721,0.296385467683829,0.0988988644435203,0.351259077073422,"0.316","0.13664","0.1008","0.27368","0.31128",0.40104,0.73736
"LAC-1992",1572.8749,0.99328,0.112986945151934,2.14558226628725,2.48159497613647,1.99623905804184,2.25152296691703,2.64816029024835,4.8732729216809,0.0827733333333333,0.00941557876266116,0.178798522190604,0.206799581344706,0.16635325483682,0.187626913909753,0.220680024187362,0.406106076806741,0.184,0.0332129963898917,0.522235294117648,0.54633846153846,0.433073170731707,0.563682539682538,1.20046,0.796536796536796,0.0104,0.00327153762268266,0.0790443686006826,0.102933333333333,0.106238532110092,0.0913352112676056,0.0271243243243243,0.0421052631578947,0.0463038292807475,0.00919788485550674,0.128201598710864,0.129724957730866,0.0879693884470607,0.12639504330263,0.316491357091228,0.205947892514359,"0.14904","0.264","0.16984","0.176","0.2344",0.45904,0.53424
"LAL-1992",1632.7195,0.86128,0.0615846807414074,2.29322666354559,1.76532376155077,1.46043952125345,1.80871908357569,2.50110746457176,4.35797901058803,0.0782981818181818,0.00559860734012795,0.208475151231417,0.160483978322798,0.132767229204859,0.16442900759779,0.22737340587016,0.396179910053457,0.20056,0.013,0.926400000000001,0.441142857142857,0.256344900662252,0.6176,0.900666666666667,1.01807106598985,0.0104,0.00159478827361564,0.0554209970674487,0.0594294339622641,0.0565825149700599,0.0456181818181818,0.0271243243243243,0.0495238095238095,0.0589644187316693,0.0032971427226159,0.245029305395677,0.109567990530879,0.0590467690176445,0.159510583804292,0.248094765820598,0.298470809071706,"0.14536","0.34056","0.08096","0.1504","0.144",0.1224,0.73888
"MIA-1992",1442.2875,0.79032,0.377171188980852,1.55583807093754,3.26161845756579,2.22362509157941,1.76870126329701,8.20976480429055,3.97692223570495,0.0718472727272727,0.0342882899073502,0.141439824630686,0.296510768869618,0.202147735598128,0.160791023936092,0.746342254935504,0.361538385064086,0.18,0.333,0.397028571428572,1.28538,1.028304,0.426257668711656,6.92947199999998,0.9,0.01616,0.000658178256611166,0.0222973065902579,0.0221072727272727,0.0235098489425982,0.0257674172185431,0.0213784615384615,0.0856565656565657,0.0608152660260414,0.0991150055282358,0.114031962862765,0.391346296283902,0.286243684315288,0.136372009150276,2.05426246381797,0.285590650843638,"0.17632","0.10992","0.0916","0.23248","0.18",0.21368,0.57664
"MIL-1992",1526.9202,0.98568,0.0722828911328156,1.73399270461348,1.83640453822329,1.80547018573596,1.85768219390369,2.51944595070148,5.30094381527902,0.08214,0.00602357426106796,0.144499392051123,0.153033711518607,0.15045584881133,0.154806849491975,0.209953829225123,0.441745317939918,0.128,0.0176308539944904,0.333837837837838,0.437238938053098,0.383007751937984,0.484392156862746,0.691940740740741,0.785276073619632,0.028,0.00261904761904762,0.0713337386018237,0.0792864864864865,0.0788286919831224,0.07334,0.0764456026058632,0.130841121495327,0.0308894780555686,0.00421069113649865,0.0656705281324949,0.0939012434528464,0.0868383675526506,0.106357026719326,0.210045823371809,0.19529235138486,"0.256","0.22184","0.1608","0.1884","0.15864",0.56656,0.41912
"MIN-1992",1420.9362,0.81024,0.131447592357396,2.1393405726613,2.25412662136811,2.05935581168303,2.0887589001862,7.64193498633464,4.71270875948292,0.06752,0.010953966029783,0.178278381055108,0.187843885114009,0.171612984306919,0.174063241682183,0.636827915527887,0.39272572995691,0.1272,0.0695652173913043,0.606162962962964,0.451323076923076,0.386,0.584514285714285,4.41142857142858,0.80506329113924,0.016,0.000976377952755905,0.0319093333333333,0.0371038759689922,0.0306820512820513,0.023044776119403,0.0316717948717949,0.0864864864864865,0.0348117597685296,0.0189457355144073,0.149814021774332,0.133179679259631,0.125993262431904,0.167167465545147,1.23142974698119,0.247689132968796,"0.3344","0.1912","0.1088","0.15104","0.0248",0.416,0.39424
