"player","salary","year_end","team_id","fran_id","cap","per_cap","sal_2020"
"Aaron McKie",4e+06,2002,"PHI","Sixers",42500000,0.0941176470588235,10272000
"Aaron McKie",5500000,2005,"PHI","Sixers",43870000,0.12537041258263,13682926.8292683
"Aaron McKie",6e+06,2006,"PHI","Sixers",49500000,0.121212121212121,13229090.9090909
"Aaron McKie",2500000,2006,"LAL","Lakers",49500000,0.0505050505050505,5512121.21212121
"Aaron McKie",5570874,2007,"PHI","Sixers",53135000,0.104843775289357,11442649.6350805
"Aaron McKie",2500000,2007,"LAL","Lakers",53135000,0.0470499670650231,5135033.40547662
"Aaron McKie",750000,2008,"MEM","Grizzlies",55630000,0.0134819342081611,1471418.2994787
"Aaron Miles",155614,2006,"GSW","Warriors",49500000,0.00314371717171717,343105.292121212
"Aaron Swinson",102424,1995,"PHO","Suns",15964000,0.00641593585567527,700235.239288399
"Aaron Williams",150000,1995,"MIL","Bucks",15964000,0.00939614131796542,1025494.86344275
"Aaron Williams",169000,1997,"DEN","Nuggets",24363000,0.00693674834790461,757076.714690309
"Aaron Williams",5e+05,1998,"OKC","Thunder",26900000,0.0185873605947955,2028624.53531599
"Aaron Williams",575000,1999,"OKC","Thunder",3e+07,0.0191666666666667,2091850
"Aaron Williams",1100000,2000,"WAS","Wizards",3.4e+07,0.0323529411764706,3531000
"Aaron Williams",2250000,2001,"BKN","Nets",35500000,0.0633802816901408,6917323.94366197
"Aaron Williams",2475000,2002,"BKN","Nets",42500000,0.0582352941176471,6355800
"Aaron Williams",2700000,2003,"BKN","Nets",40271000,0.0670457649425145,7317374.78582603
"Aaron Williams",2925000,2004,"BKN","Nets",43840000,0.0667198905109489,7281808.85036496
"Aaron Williams",3790257,2005,"TOR","Raptors",43870000,0.0863974697971279,9429419.85365854
"Aaron Williams",3375000,2006,"TOR","Raptors",49500000,0.0681818181818182,7441363.63636364
"Aaron Williams",1750000,2007,"LAC","Clippers",53135000,0.0329349769455161,3594523.38383363
"Aaron Williams",1890000,2008,"LAC","Clippers",55630000,0.0339744742045659,3707974.11468632
"Abdel Nader",1167333,2018,"BOS","Celtics",99093000,0.0117801761981169,1285688.43026248
"Acie Earl",650000,1994,"BOS","Celtics",15175000,0.042833607907743,4674859.96705107
"Acie Earl",845000,1995,"BOS","Celtics",15964000,0.0529315960912052,5776954.39739414
"Acie Earl",1040000,1996,"TOR","Raptors",2.3e+07,0.0452173913043478,4935026.08695652
"Acie Earl",1235000,1997,"TOR","Raptors",24363000,0.0506916225423798,5532483.68427534
"Acie Earl",1430000,1998,"MIL","Bucks",26900000,0.0531598513011152,5801866.17100372
"Acie Law",1927080,2008,"ATL","Hawks",55630000,0.0346410210318174,3780721.03541255
"Acie Law",2071680,2009,"ATL","Hawks",58680000,0.0353047034764826,3853155.33742331
"Acie Law",2216160,2010,"CHI","Bulls",57700000,0.0384083188908146,4191883.9237435
"Acie Law",656030,2011,"GSW","Warriors",58044000,0.0113022879195093,1233531.70353525
"Acie Law",203057,2011,"MEM","Grizzlies",58044000,0.00349832885397285,381807.611122597
"Adam Harrington",140636,2003,"DAL","Mavericks",40271000,0.00349224007350202,381143.081622011
"Adam Keefe",1e+06,1993,"ATL","Hawks",1.4e+07,0.0714285714285714,7795714.28571429
"Adam Keefe",1200000,1994,"ATL","Hawks",15175000,0.0790774299835255,8630510.70840198
"Adam Keefe",1500000,1995,"UTA","Jazz",15964000,0.0939614131796542,10254948.6344275
